user,text,hashtags,user_mentions,retweets,favorites
Jeffrey Gettleman,"RT @timesofindia: Ladakh: Indian paratroopers jump from an altitude of 16,000 feet

Indian paratroopers dived off C-130J Hercules aircraft…",[],"[{'screen_name': 'timesofindia', 'name': 'The Times Of India', 'id': 134758540, 'id_str': '134758540', 'indices': [3, 16]}]",470,0
Jeffrey Gettleman,What an inspiring interchange. Way to go Luke! https://t.co/YF3xldYczZ,[],[],1,5
Jeffrey Gettleman,"It's a fantastic school. Congrats, farmer's son! https://t.co/647fiq4Yy7",[],[],2,29
Jeffrey Gettleman,"RT @ndtv: 99 Doctors Died Due To COVID-19, Says Indian Medical Association; Issues ""Red Alert""

@SukirtiDwivedi brings in the latest https:…",[],"[{'screen_name': 'ndtv', 'name': 'NDTV', 'id': 37034483, 'id_str': '37034483', 'indices': [3, 8]}, {'screen_name': 'SukirtiDwivedi', 'name': 'Sukirti Dwivedi', 'id': 747450386772963328, 'id_str': '747450386772963328', 'indices': [96, 111]}]",112,0
Jeffrey Gettleman,RT @shaikubaid: Specter of Caste in Silicon Valley  Gr8 oped in ⁦@nytimes⁩ ⁦@nytopinion⁩ ⁦@ABarnardNYT⁩ ⁦@rcallimachi⁩ ⁦@NickKristof⁩ ⁦@Abi…,[],"[{'screen_name': 'shaikubaid', 'name': 'Shaik Ubaid', 'id': 49208449, 'id_str': '49208449', 'indices': [3, 14]}, {'screen_name': 'nytimes', 'name': 'The New York Times', 'id': 807095, 'id_str': '807095', 'indices': [65, 73]}, {'screen_name': 'nytopinion', 'name': 'New York Times Opinion', 'id': 16686144, 'id_str': '16686144', 'indices': [76, 87]}, {'screen_name': 'ABarnardNYT', 'name': 'Anne Barnard', 'id': 249013720, 'id_str': '249013720', 'indices': [90, 102]}, {'screen_name': 'rcallimachi', 'name': 'Rukmini Callimachi', 'id': 30699754, 'id_str': '30699754', 'indices': [105, 117]}, {'screen_name': 'NickKristof', 'name': 'Nicholas Kristof', 'id': 17004618, 'id_str': '17004618', 'indices': [120, 132]}]",3,0
Jeffrey Gettleman,RT @SavvyPriya: @gettleman @HariNYT It's a very charming article on India's response to coronavirus. How Indian culture has defined the res…,[],"[{'screen_name': 'SavvyPriya', 'name': 'SavvyPriya', 'id': 17264194, 'id_str': '17264194', 'indices': [3, 14]}, {'screen_name': 'gettleman', 'name': 'Jeffrey Gettleman', 'id': 305125998, 'id_str': '305125998', 'indices': [16, 26]}, {'screen_name': 'HariNYT', 'name': 'Hari Kumar', 'id': 450577886, 'id_str': '450577886', 'indices': [27, 35]}]",1,0
Jeffrey Gettleman,"RT @KetanDayal: How world's 2 biggest troops operates at 15,000 ft. A ground report based on inputs from Ladakhis, retd. officials of ITBP&amp;…",[],"[{'screen_name': 'KetanDayal', 'name': 'Ketan Dayal', 'id': 1281894563284545537, 'id_str': '1281894563284545537', 'indices': [3, 14]}]",1,0
Jeffrey Gettleman,The illustrious Bollywood Bachchan clan tests positive for Covid. How did they get it? https://t.co/zvtAjJPIrh,[],[],7,26
Jeffrey Gettleman,Dan Eldon was killed on this date in 1992. He squeezed the hell out of every day. I was lucky to know him.… https://t.co/Lyf9pJCrG9,[],[],4,20
Jeffrey Gettleman,"RT @Chun_Gurung: “He’s like god,” said Shivendra Singh Dungarpur, a filmmaker who has worked with @SrBachchan. “I’ve never seen a star havi…",[],"[{'screen_name': 'Chun_Gurung', 'name': 'Chun B. Gurung', 'id': 86881470, 'id_str': '86881470', 'indices': [3, 15]}, {'screen_name': 'SrBachchan', 'name': 'Amitabh Bachchan', 'id': 145125358, 'id_str': '145125358', 'indices': [98, 109]}]",1,0
