user,handle,followers,following,reach_score
Jeffrey Gettleman,@gettleman,25702,37,25665
A24 Media,@a24media,31286,3059,28227
Scapegoat,@AndiMakinana,101294,2838,98456
Africa Check,@AfricaCheck,68074,4592,63482
James Copnall,@JamesCopnall,21962,5049,16913
Online Africa,@oafrica,31291,2877,28414
Patrick Ngowi,@PatrickNgowi,22798,179,22619
SEO Expert Vancouver,@stateafrica,8,0,8
Mohammed Adow,@Moadow,50984,1732,49252
Brendan Boyle,@BrendanSAfrica,28462,366,28096
City of Tshwane,@CityTshwane,439453,2927,436526
VISI Magazine,@VISI_Mag,52898,1818,51080
This Is Africa,@ThisIsAfricaTIA,46777,2138,44639
Sarah Carter,@sarzss,11927,894,11033
The EIU Africa team,@TheEIU_Africa,24866,294,24572
Investing In Africa,@InvestInAfrica,49699,172,49527
Barry Malone,@malonebarry,28497,2988,25509
ArtSouthAfrica,@ArtSouthAfrica,117,132,-15
Kahn Morbee,@KahnMorbee,17443,425,17018
Jamal Osman,@JamalMOsman,93960,659,93301
iamsuede™,@iamsuede,18239,2256,15983
Mike Stopforth,@mikestopforth,21363,813,20550
Equal Education,@equal_education,62321,748,61573
Tristan McConnell,@t_mcconnell,18497,940,17557
Kate Forbes,@forbeesta,19995,3604,16391
Jax Panik,@jaxpanik,7488,15,7473
T.I.A,@ThisisAfrica,6,0,6
audisouthafrica,@audisouthafrica,215410,1155,214255
ONE in Africa,@ONEinAfrica,232828,89595,143233
Hamza Mohamed,@Hamza_Africa,98713,220,98493
Rebecca Enonchong,@africatechie,106165,1644,104521
marais,@cx73,70748,49689,21059
George Ayittey,@ayittey,17122,151,16971
Mercedes-Benz SA,@MercedesBenz_SA,249981,2415,247566
Africa Gathering,@africagathering,48963,653,48310
OkayAfrica,@OkayAfrica,105243,1919,103324
Mary Harper,@mary_harper,58227,1980,56247
Save the Rhino,@savetherhino,80355,983,79372
Africa Team,@africamedia_CPJ,487,0,487
TechCentral,@TechCentral,81644,1904,79740
GautengGov,@GautengProvince,217308,3122,214186
Abdi Aynte,@Aynte,192558,1346,191212
Daniel Howden,@daniel_howden,24699,3706,20993
Ranger Diaries,@rangerdiaries,20447,4614,15833
The Star,@TheStar_news,191433,405,191028
James Schneider,@schneiderhome,26432,1007,25425
The Africa Report,@TheAfricaReport,165781,1143,164638
City of Joburg,@CityofJoburgZA,1002845,61975,940870
Think Africa Press,@ThinkAfricaFeed,48250,1114,47136
Africa The Good News,@AfricaGoodNews,50096,757,49339
will ross,@willintune,18646,1489,17157
CNBC Africa,@cnbcafrica,240618,657,239961
HowWeMadeItInAfrica,@MadeItInAfrica,105653,391,105262
Africa Research Inst,@AfricaResearch,88507,1940,86567
FoodBlog Cape Town,@FoodBlogCT,84538,25645,58893
Mbuyiseni Ndlozi,@MbuyiseniNdlozi,1079365,5473,1073892
AfricaProgressPanel,@africaprogress,56243,3166,53077
IFC Africa,@IFCAfrica,127364,1544,125820
Henley Africa,@HenleyAfrica,143198,74075,69123
Geoffrey York,@geoffreyyork,285563,10839,274724
#Entrepreneurship #Solutions,@Entrepreneur_SA,131,141,-10
Forbes Africa,@forbesafrica,215991,128,215863
IEC South Africa,@IECSouthAfrica,220927,11,220916
Arthur Goldstuck,@art2gee,59206,3346,55860
Jendayi E Frazer,@JendayiFrazer,29950,480,29470
Peter Greste,@PeterGreste,51835,987,50848
Disaster Operations,@NDOCKenya,151988,561,151427
Mo Ibrahim Foundation,@Mo_IbrahimFdn,114522,1641,112881
Parliament of RSA,@ParliamentofRSA,673569,2205,671364
Sandton City,@SandtonCity,56878,985,55893
African Union,@_AfricanUnion,541640,186,541454
Gert-Johan Coetzee,@gertjohan,49251,305,48946
SmithInAfrica,@SmithInAfrica,69,0,69
Ray Hartley,@hartleyr,35227,455,34772
Live Amp,@liveamp,938270,1618,936652
SamsungSA,@SamsungSA,572337,269,572068
Bob Skinstad,@BobSkinstad,105682,2990,102692
CAMFED - Campaign for Female Education,@Camfed,183457,25601,157856
Andrew H,@BBCAndrewH,7,0,7
Euphonik™♛,@euphonik,1755814,65,1755749
Ulrich Janse van Vuuren,@UlrichJvV,1042487,530272,512215
Cricket South Africa,@OfficialCSA,1160269,1996,1158273
MTV Base Africa,@MTVBaseAfrica,1416282,109,1416173
