country,year,uniqueid,bank_account,location,cell_phone_access,household_size,respondent_age,respondent_gender,rship_with_head,marital_status,education_level,job_type
Kenya,2018,uniqueid_1,Yes,Rural,Yes,3.0,24.0,Female,Spouse,Married/Living together,Secondary education,Self employed
Kenya,2018,uniqueid_2,No,Rural,No,5.0,70.0,Female,Head of Household,Widowed,No formal education,Government Dependent
Kenya,2018,uniqueid_3,Yes,Urban,Yes,5.0,26.0,Male,Other relative,Single/Never Married,Vocational/Specialised training,Self employed
Kenya,2018,uniqueid_4,No,Rural,Yes,5.0,34.0,Female,Head of Household,Married/Living together,Primary education,Formally employed Private
Kenya,2018,uniqueid_5,No,Urban,No,8.0,26.0,Male,Child,Single/Never Married,Primary education,Informally employed
Kenya,2018,uniqueid_6,No,Rural,No,7.0,26.0,Female,Spouse,Married/Living together,Primary education,Informally employed
Kenya,2018,uniqueid_7,No,Rural,Yes,7.0,32.0,Female,Spouse,Married/Living together,Primary education,Self employed
Kenya,2018,uniqueid_8,No,Rural,Yes,1.0,42.0,Female,Head of Household,Married/Living together,Tertiary education,Formally employed Government
Kenya,2018,uniqueid_9,Yes,Rural,Yes,3.0,54.0,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
Kenya,2018,uniqueid_10,No,Urban,Yes,3.0,76.0,Female,Head of Household,Divorced/Seperated,No formal education,Remittance Dependent
Kenya,2018,uniqueid_11,No,Rural,Yes,5.0,40.0,Female,Head of Household,Married/Living together,Secondary education,Farming and Fishing
Kenya,2018,uniqueid_12,Yes,Rural,Yes,3.0,69.0,Male,Head of Household,Married/Living together,Secondary education,Other Income
Kenya,2018,uniqueid_13,No,Rural,No,6.0,64.0,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Kenya,2018,uniqueid_14,No,Rural,No,8.0,31.0,Female,Spouse,Married/Living together,Primary education,Self employed
Kenya,2018,uniqueid_15,No,Urban,Yes,4.0,26.0,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,2018,uniqueid_16,No,Rural,Yes,7.0,38.0,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,2018,uniqueid_17,No,Urban,Yes,1.0,47.0,Female,Head of Household,Married/Living together,Secondary education,Self employed
Kenya,2018,uniqueid_18,Yes,Rural,Yes,6.0,27.0,Female,Head of Household,Married/Living together,Secondary education,Self employed
Kenya,2018,uniqueid_19,No,Urban,Yes,1.0,48.0,Female,Head of Household,Single/Never Married,Vocational/Specialised training,Formally employed Private
Kenya,2018,uniqueid_20,No,Rural,No,4.0,25.0,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,uniqueid_21,No,Rural,Yes,4.0,26.0,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,uniqueid_22,Yes,Urban,Yes,1.0,32.0,Male,Head of Household,Single/Never Married,Vocational/Specialised training,Self employed
Kenya,2018,uniqueid_23,No,Urban,Yes,4.0,34.0,Female,Spouse,Married/Living together,Secondary education,Self employed
Kenya,2018,uniqueid_24,No,Rural,Yes,3.0,21.0,Female,Spouse,Married/Living together,Secondary education,Informally employed
Kenya,2018,uniqueid_25,No,Urban,No,7.0,18.0,Male,Other relative,Single/Never Married,Secondary education,Remittance Dependent
Kenya,2018,uniqueid_26,No,Rural,Yes,5.0,22.0,Female,Child,Single/Never Married,Secondary education,Remittance Dependent
Kenya,2018,uniqueid_27,No,Rural,No,8.0,26.0,Male,Child,Married/Living together,Primary education,Self employed
Kenya,2018,uniqueid_28,No,Urban,Yes,1.0,31.0,Female,Head of Household,Single/Never Married,Primary education,Informally employed
Kenya,2018,uniqueid_29,No,Rural,Yes,4.0,26.0,Male,Head of Household,Married/Living together,Primary education,Formally employed Private
Kenya,2018,uniqueid_30,No,Rural,No,7.0,58.0,Female,Head of Household,Widowed,No formal education,Remittance Dependent
Kenya,2018,uniqueid_31,No,Urban,Yes,5.0,55.0,Male,Head of Household,Married/Living together,Secondary education,Informally employed
Kenya,2018,uniqueid_32,No,Urban,Yes,5.0,38.0,Male,Head of Household,Married/Living together,Secondary education,Self employed
Kenya,2018,uniqueid_33,Yes,Urban,Yes,4.0,62.0,Female,Spouse,Married/Living together,Primary education,Formally employed Government
Kenya,2018,uniqueid_34,No,Rural,Yes,3.0,29.0,Female,Head of Household,Married/Living together,Primary education,Remittance Dependent
Kenya,2018,uniqueid_35,No,Rural,Yes,10.0,42.0,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,uniqueid_36,No,Rural,Yes,5.0,48.0,Female,Head of Household,Widowed,Primary education,Informally employed
Kenya,2018,uniqueid_37,No,Rural,Yes,4.0,35.0,Male,Head of Household,Married/Living together,Primary education,Informally employed
