country,year,uniqueid,bank_account,location,cell_phone_access,household_size,respondent_age,respondent_gender,rship_with_head,marital_status,education_level,job_type
Rwanda,2016,uniqueid_1,No,Urban,Yes,7.0,18.0,Female,Child,Single/Never Married,Secondary education,Remittance Dependent
Rwanda,2016,uniqueid_2,Yes,Urban,Yes,4.0,26.0,Female,Spouse,Married/Living together,Secondary education,Self employed
Rwanda,2016,uniqueid_3,No,Rural,No,6.0,42.0,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Rwanda,2016,uniqueid_4,Yes,Urban,Yes,1.0,41.0,Male,Head of Household,Single/Never Married,Tertiary education,Informally employed
Rwanda,2016,uniqueid_5,No,Rural,No,4.0,17.0,Female,Child,Single/Never Married,Primary education,Informally employed
Rwanda,2016,uniqueid_6,No,Rural,Yes,4.0,64.0,Female,Head of Household,Widowed,No formal education,Self employed
Rwanda,2016,uniqueid_7,No,Rural,No,4.0,58.0,Female,Spouse,Married/Living together,No formal education,Informally employed
Rwanda,2016,uniqueid_8,No,Rural,Yes,4.0,25.0,Female,Spouse,Married/Living together,Primary education,Remittance Dependent
Rwanda,2016,uniqueid_9,No,Urban,Yes,13.0,18.0,Male,Child,Single/Never Married,Secondary education,Informally employed
Rwanda,2016,uniqueid_10,Yes,Urban,Yes,4.0,28.0,Male,Child,Single/Never Married,Tertiary education,Formally employed Government
Rwanda,2016,uniqueid_11,No,Rural,Yes,3.0,17.0,Male,Other relative,Single/Never Married,Primary education,Remittance Dependent
Rwanda,2016,uniqueid_12,No,Rural,No,3.0,31.0,Male,Head of Household,Married/Living together,Primary education,Informally employed
Rwanda,2016,uniqueid_13,No,Urban,Yes,8.0,27.0,Female,Child,Single/Never Married,Secondary education,Self employed
Rwanda,2016,uniqueid_14,No,Rural,Yes,3.0,25.0,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_15,Yes,Rural,Yes,6.0,40.0,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_16,No,Rural,No,2.0,55.0,Female,Head of Household,Married/Living together,No formal education,Informally employed
Rwanda,2016,uniqueid_17,No,Rural,Yes,3.0,24.0,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_18,No,Rural,Yes,4.0,33.0,Male,Head of Household,Married/Living together,No formal education,Informally employed
Rwanda,2016,uniqueid_19,No,Rural,No,3.0,30.0,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_20,No,Rural,Yes,9.0,19.0,Male,Parent,Single/Never Married,Primary education,Informally employed
Rwanda,2016,uniqueid_21,No,Rural,Yes,7.0,37.0,Female,Spouse,Married/Living together,Primary education,Self employed
Rwanda,2016,uniqueid_22,No,Rural,No,3.0,20.0,Male,Other relative,Single/Never Married,Primary education,Informally employed
Rwanda,2016,uniqueid_23,No,Rural,Yes,3.0,33.0,Female,Head of Household,Married/Living together,Primary education,Other Income
Rwanda,2016,uniqueid_24,No,Rural,Yes,3.0,30.0,Male,Head of Household,Married/Living together,Primary education,Informally employed
Rwanda,2016,uniqueid_25,No,Rural,Yes,4.0,69.0,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
Rwanda,2016,uniqueid_26,No,Rural,Yes,4.0,39.0,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_27,No,Urban,Yes,5.0,17.0,Female,Child,Single/Never Married,Primary education,Remittance Dependent
Rwanda,2016,uniqueid_28,No,Rural,Yes,4.0,39.0,Female,Spouse,Married/Living together,No formal education,Informally employed
Rwanda,2016,uniqueid_29,No,Urban,Yes,8.0,22.0,Female,Other non-relatives,Single/Never Married,Primary education,Informally employed
Rwanda,2016,uniqueid_30,No,Rural,No,4.0,65.0,Female,Spouse,Married/Living together,No formal education,Informally employed
Rwanda,2016,uniqueid_31,No,Rural,Yes,9.0,48.0,Male,Head of Household,Married/Living together,No formal education,Self employed
Rwanda,2016,uniqueid_32,No,Rural,Yes,5.0,25.0,Male,Head of Household,Married/Living together,Primary education,Dont Know/Refuse to answer
Rwanda,2016,uniqueid_33,No,Rural,Yes,5.0,16.0,Male,Child,Single/Never Married,Secondary education,Informally employed
Rwanda,2016,uniqueid_34,Yes,Urban,Yes,3.0,47.0,Male,Head of Household,Married/Living together,Secondary education,Informally employed
Rwanda,2016,uniqueid_35,No,Rural,Yes,5.0,35.0,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Rwanda,2016,uniqueid_36,No,Rural,Yes,3.0,61.0,Female,Head of Household,Divorced/Seperated,No formal education,Farming and Fishing
Rwanda,2016,uniqueid_37,No,Rural,Yes,7.0,21.0,Female,Child,Single/Never Married,Secondary education,Farming and Fishing
Rwanda,2016,uniqueid_38,No,Rural,Yes,3.0,68.0,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_39,No,Rural,No,2.0,51.0,Female,Head of Household,Divorced/Seperated,No formal education,Informally employed
Rwanda,2016,uniqueid_40,Yes,Rural,Yes,3.0,39.0,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
Rwanda,2016,uniqueid_41,No,Rural,Yes,6.0,32.0,Female,Spouse,Married/Living together,No formal education,Informally employed
Rwanda,2016,uniqueid_42,Yes,Rural,Yes,5.0,30.0,Female,Spouse,Married/Living together,Tertiary education,Self employed
Rwanda,2016,uniqueid_43,Yes,Rural,Yes,6.0,40.0,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
Rwanda,2016,uniqueid_44,No,Rural,Yes,3.0,35.0,Female,Spouse,Married/Living together,Primary education,Informally employed
Rwanda,2016,uniqueid_45,Yes,Urban,Yes,5.0,34.0,Male,Head of Household,Married/Living together,Secondary education,Self employed
Rwanda,2016,uniqueid_46,No,Rural,No,4.0,33.0,Female,Spouse,Married/Living together,No formal education,Informally employed
Rwanda,2016,uniqueid_47,No,Rural,Yes,1.0,70.0,Female,Head of Household,Divorced/Seperated,No formal education,Farming and Fishing
Rwanda,2016,uniqueid_48,No,Rural,No,8.0,36.0,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_49,No,Rural,Yes,1.0,67.0,Female,Head of Household,Married/Living together,Secondary education,Farming and Fishing
Rwanda,2016,uniqueid_50,No,Rural,Yes,6.0,29.0,Male,Head of Household,Married/Living together,Primary education,Informally employed
Rwanda,2016,uniqueid_51,No,Rural,Yes,6.0,18.0,Female,Child,Single/Never Married,Secondary education,Informally employed
Rwanda,2016,uniqueid_52,No,Rural,Yes,11.0,53.0,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_53,No,Rural,Yes,3.0,28.0,Male,Head of Household,Married/Living together,Primary education,Informally employed
Rwanda,2016,uniqueid_54,Yes,Rural,Yes,5.0,35.0,Male,Head of Household,Married/Living together,Primary education,Self employed
Rwanda,2016,uniqueid_55,No,Rural,Yes,7.0,26.0,Female,Spouse,Married/Living together,Primary education,Informally employed
Rwanda,2016,uniqueid_56,No,Rural,Yes,3.0,30.0,Male,Head of Household,Married/Living together,Primary education,Self employed
Rwanda,2016,uniqueid_57,No,Rural,Yes,3.0,23.0,Male,Head of Household,Married/Living together,Primary education,Self employed
Rwanda,2016,uniqueid_58,No,Rural,No,4.0,26.0,Female,Spouse,Married/Living together,Primary education,Informally employed
Rwanda,2016,uniqueid_59,No,Rural,Yes,5.0,61.0,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_60,No,Rural,Yes,1.0,90.0,Female,Head of Household,Widowed,No formal education,Remittance Dependent
Rwanda,2016,uniqueid_61,No,Rural,Yes,5.0,35.0,Male,Head of Household,Married/Living together,Primary education,Informally employed
Rwanda,2016,uniqueid_62,No,Rural,Yes,1.0,77.0,Male,Head of Household,Married/Living together,Primary education,Informally employed
Rwanda,2016,uniqueid_63,No,Rural,Yes,5.0,32.0,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
Rwanda,2016,uniqueid_64,No,Rural,Yes,2.0,46.0,Female,Head of Household,Married/Living together,No formal education,Farming and Fishing
Rwanda,2016,uniqueid_65,No,Rural,Yes,5.0,37.0,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_66,Yes,Rural,Yes,3.0,19.0,Male,Child,Single/Never Married,Secondary education,Self employed
Rwanda,2016,uniqueid_67,No,Rural,Yes,2.0,51.0,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Rwanda,2016,uniqueid_68,No,Urban,Yes,7.0,37.0,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_69,No,Rural,No,2.0,56.0,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Rwanda,2016,uniqueid_70,No,Rural,No,2.0,64.0,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Rwanda,2016,uniqueid_71,No,Urban,Yes,4.0,37.0,Male,Head of Household,Married/Living together,Primary education,Other Income
Rwanda,2016,uniqueid_72,No,Rural,Yes,6.0,38.0,Male,Head of Household,Married/Living together,Secondary education,Informally employed
Rwanda,2016,uniqueid_73,No,Rural,Yes,4.0,29.0,Male,Head of Household,Married/Living together,Primary education,Remittance Dependent
Rwanda,2016,uniqueid_74,No,Rural,Yes,3.0,42.0,Female,Head of Household,Single/Never Married,No formal education,Informally employed
Rwanda,2016,uniqueid_75,No,Rural,Yes,5.0,22.0,Female,Child,Single/Never Married,Primary education,Remittance Dependent
Rwanda,2016,uniqueid_76,No,Rural,No,5.0,34.0,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_77,No,Rural,Yes,6.0,45.0,Male,Head of Household,Married/Living together,Vocational/Specialised training,Farming and Fishing
Rwanda,2016,uniqueid_78,No,Urban,Yes,4.0,29.0,Female,Spouse,Married/Living together,Primary education,Remittance Dependent
Rwanda,2016,uniqueid_79,No,Rural,Yes,3.0,40.0,Male,Head of Household,Married/Living together,Primary education,Other Income
Rwanda,2016,uniqueid_80,No,Urban,Yes,7.0,44.0,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_81,No,Rural,No,6.0,45.0,Male,Head of Household,Married/Living together,No formal education,Informally employed
Rwanda,2016,uniqueid_82,No,Rural,Yes,2.0,66.0,Female,Head of Household,Divorced/Seperated,No formal education,Farming and Fishing
Rwanda,2016,uniqueid_83,No,Rural,Yes,4.0,30.0,Female,Spouse,Married/Living together,Primary education,Informally employed
Rwanda,2016,uniqueid_84,No,Rural,Yes,6.0,35.0,Female,Spouse,Married/Living together,Primary education,Formally employed Private
Rwanda,2016,uniqueid_85,No,Rural,Yes,5.0,36.0,Female,Spouse,Married/Living together,No formal education,Informally employed
Rwanda,2016,uniqueid_86,No,Rural,Yes,5.0,38.0,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_87,No,Rural,Yes,4.0,27.0,Female,Spouse,Single/Never Married,Primary education,Informally employed
Rwanda,2016,uniqueid_88,Yes,Rural,No,6.0,53.0,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_89,No,Urban,Yes,3.0,46.0,Female,Head of Household,Widowed,No formal education,Informally employed
Rwanda,2016,uniqueid_90,No,Rural,Yes,3.0,35.0,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_91,No,Rural,Yes,3.0,46.0,Female,Head of Household,Widowed,Primary education,Self employed
Rwanda,2016,uniqueid_92,Yes,Urban,Yes,5.0,43.0,Male,Head of Household,Married/Living together,Secondary education,Informally employed
Rwanda,2016,uniqueid_93,No,Rural,No,2.0,21.0,Female,Head of Household,Single/Never Married,Primary education,Informally employed
Rwanda,2016,uniqueid_94,No,Rural,No,4.0,27.0,Female,Spouse,Married/Living together,Primary education,Informally employed
Rwanda,2016,uniqueid_95,Yes,Rural,Yes,2.0,69.0,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_96,No,Rural,Yes,10.0,41.0,Female,Spouse,Married/Living together,Primary education,Self employed
Rwanda,2016,uniqueid_97,No,Rural,Yes,3.0,25.0,Male,Head of Household,Married/Living together,Primary education,Self employed
Rwanda,2016,uniqueid_98,No,Rural,No,5.0,25.0,Female,Spouse,Married/Living together,No formal education,Informally employed
Rwanda,2016,uniqueid_99,No,Rural,No,2.0,47.0,Female,Head of Household,Divorced/Seperated,No formal education,Informally employed
Rwanda,2016,uniqueid_100,No,Rural,Yes,5.0,31.0,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_101,No,Rural,Yes,4.0,44.0,Female,Spouse,Married/Living together,No formal education,Self employed
Rwanda,2016,uniqueid_102,No,Rural,Yes,3.0,53.0,Female,Head of Household,Divorced/Seperated,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_103,No,Rural,Yes,7.0,43.0,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
Rwanda,2016,uniqueid_104,No,Rural,Yes,6.0,44.0,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_105,Yes,Rural,Yes,5.0,44.0,Male,Head of Household,Married/Living together,Secondary education,Formally employed Private
Rwanda,2016,uniqueid_106,No,Rural,Yes,3.0,35.0,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_107,No,Rural,Yes,5.0,42.0,Female,Parent,Divorced/Seperated,Primary education,Informally employed
Rwanda,2016,uniqueid_108,No,Rural,Yes,5.0,43.0,Female,Head of Household,Widowed,Secondary education,Self employed
Rwanda,2016,uniqueid_109,No,Rural,Yes,7.0,35.0,Female,Spouse,Married/Living together,No formal education,Informally employed
Rwanda,2016,uniqueid_110,No,Rural,No,2.0,70.0,Female,Head of Household,Single/Never Married,No formal education,Farming and Fishing
Rwanda,2016,uniqueid_111,No,Rural,Yes,5.0,19.0,Female,Parent,Single/Never Married,Primary education,Informally employed
Rwanda,2016,uniqueid_112,No,Rural,Yes,4.0,43.0,Female,Parent,Divorced/Seperated,Secondary education,Formally employed Government
Rwanda,2016,uniqueid_113,No,Rural,No,4.0,28.0,Female,Spouse,Married/Living together,Primary education,Informally employed
Rwanda,2016,uniqueid_114,No,Rural,Yes,8.0,57.0,Male,Head of Household,Married/Living together,Primary education,Self employed
Rwanda,2016,uniqueid_115,Yes,Rural,Yes,6.0,37.0,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_116,No,Rural,Yes,3.0,25.0,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_117,No,Rural,Yes,7.0,39.0,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_118,Yes,Rural,Yes,6.0,37.0,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_119,No,Rural,No,4.0,71.0,Female,Child,Single/Never Married,Primary education,Informally employed
Rwanda,2016,uniqueid_120,No,Rural,Yes,7.0,17.0,Male,Child,Single/Never Married,Secondary education,Farming and Fishing
Rwanda,2016,uniqueid_121,No,Rural,Yes,3.0,48.0,Female,Head of Household,Widowed,Primary education,Informally employed
Rwanda,2016,uniqueid_122,No,Rural,Yes,4.0,26.0,Female,Head of Household,Married/Living together,Secondary education,Dont Know/Refuse to answer
Rwanda,2016,uniqueid_123,No,Rural,Yes,3.0,39.0,Female,Head of Household,Divorced/Seperated,Secondary education,Informally employed
Rwanda,2016,uniqueid_124,No,Rural,No,6.0,38.0,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
