country,year,uniqueid,bank_account,location,cell_phone_access,household_size,respondent_age,respondent_gender,rship_with_head,marital_status,education_level,job_type
Tanzania,2017,uniqueid_1,No,Rural,Yes,1.0,22.0,Female,Child,Divorced/Seperated,Secondary education,No Income
Tanzania,2017,uniqueid_2,No,Urban,No,2.0,100.0,Male,Head of Household,Single/Never Married,No formal education,Self employed
Tanzania,2017,uniqueid_3,No,Urban,Yes,3.0,19.0,Female,Head of Household,Widowed,No formal education,No Income
Tanzania,2017,uniqueid_4,No,Urban,No,4.0,21.0,Female,Parent,Single/Never Married,Primary education,Remittance Dependent
Tanzania,2017,uniqueid_5,Yes,Urban,Yes,3.0,24.0,Female,Parent,Divorced/Seperated,Tertiary education,Formally employed Private
Tanzania,2017,uniqueid_6,No,Urban,Yes,2.0,21.0,Female,Spouse,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_7,No,Rural,Yes,2.0,42.0,Female,Spouse,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_8,No,Urban,No,1.0,31.0,Female,Head of Household,Married/Living together,Primary education,Informally employed
Tanzania,2017,uniqueid_9,No,Rural,No,1.0,59.0,Female,Head of Household,Married/Living together,Primary education,Self employed
Tanzania,2017,uniqueid_10,No,Urban,No,2.0,65.0,Female,Spouse,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_11,No,Urban,Yes,2.0,30.0,Female,Spouse,Single/Never Married,Primary education,Remittance Dependent
Tanzania,2017,uniqueid_12,No,Rural,Yes,1.0,35.0,Male,Head of Household,Single/Never Married,Primary education,Informally employed
Tanzania,2017,uniqueid_13,No,Urban,No,1.0,22.0,Female,Spouse,Single/Never Married,Secondary education,No Income
Tanzania,2017,uniqueid_14,No,Urban,Yes,2.0,43.0,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_15,No,Urban,Yes,4.0,34.0,Male,Child,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_16,No,Urban,No,2.0,17.0,Female,Other relative,Divorced/Seperated,Primary education,Remittance Dependent
Tanzania,2017,uniqueid_17,No,Urban,No,1.0,38.0,Female,Head of Household,Widowed,Primary education,Self employed
Tanzania,2017,uniqueid_18,No,Urban,Yes,2.0,27.0,Male,Head of Household,Single/Never Married,Tertiary education,Self employed
Tanzania,2017,uniqueid_19,No,Urban,No,2.0,60.0,Female,Spouse,Single/Never Married,No formal education,Self employed
Tanzania,2017,uniqueid_20,No,Urban,No,3.0,18.0,Female,Parent,Married/Living together,Primary education,Self employed
Tanzania,2017,uniqueid_21,No,Rural,Yes,1.0,26.0,Male,Head of Household,Divorced/Seperated,Tertiary education,Self employed
Tanzania,2017,uniqueid_22,No,Urban,Yes,3.0,21.0,Male,Head of Household,Single/Never Married,Secondary education,Informally employed
Tanzania,2017,uniqueid_23,No,Urban,No,1.0,33.0,Female,Head of Household,Divorced/Seperated,No formal education,Self employed
Tanzania,2017,uniqueid_24,No,Urban,Yes,3.0,21.0,Male,Parent,Divorced/Seperated,Primary education,Self employed
Tanzania,2017,uniqueid_25,No,Rural,Yes,3.0,55.0,Female,Head of Household,Widowed,Primary education,Remittance Dependent
Tanzania,2017,uniqueid_26,No,Urban,No,2.0,35.0,Female,Spouse,Single/Never Married,Primary education,Informally employed
Tanzania,2017,uniqueid_27,No,Rural,Yes,1.0,51.0,Male,Head of Household,Single/Never Married,Primary education,Informally employed
Tanzania,2017,uniqueid_28,No,Urban,Yes,3.0,43.0,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_29,No,Urban,Yes,3.0,51.0,Male,Head of Household,Single/Never Married,No formal education,Self employed
Tanzania,2017,uniqueid_30,No,Urban,Yes,2.0,22.0,Female,Spouse,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_31,No,Urban,No,2.0,20.0,Female,Spouse,Single/Never Married,Primary education,Remittance Dependent
Tanzania,2017,uniqueid_32,No,Urban,Yes,4.0,44.0,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_33,No,Urban,Yes,1.0,25.0,Female,Head of Household,Married/Living together,Primary education,Remittance Dependent
