country,year,uniqueid,bank_account,location,cell_phone_access,household_size,respondent_age,respondent_gender,rship_with_head,marital_status,education_level,job_type
Uganda,2018,uniqueid_1,No,Rural,No,5.0,32.0,Female,Head of Household,Divorced/Seperated,Primary education,Other Income
Uganda,2018,uniqueid_2,No,Urban,Yes,8.0,65.0,Female,Head of Household,Widowed,Secondary education,Self employed
Uganda,2018,uniqueid_3,No,Rural,No,7.0,35.0,Female,Spouse,Married/Living together,Primary education,Self employed
Uganda,2018,uniqueid_4,No,Rural,No,3.0,25.0,Female,Spouse,Married/Living together,Primary education,Other Income
Uganda,2018,uniqueid_5,No,Urban,Yes,9.0,18.0,Female,Parent,Single/Never Married,Secondary education,Other Income
Uganda,2018,uniqueid_6,No,Rural,No,7.0,27.0,Female,Spouse,Married/Living together,No formal education,Self employed
Uganda,2018,uniqueid_7,No,Rural,Yes,2.0,78.0,Female,Head of Household,Widowed,Primary education,Other Income
Uganda,2018,uniqueid_8,No,Rural,No,2.0,28.0,Male,Head of Household,Single/Never Married,No formal education,Other Income
Uganda,2018,uniqueid_9,No,Rural,Yes,4.0,33.0,Male,Other non-relatives,Married/Living together,Secondary education,Other Income
Uganda,2018,uniqueid_10,No,Rural,No,8.0,45.0,Female,Child,Married/Living together,No formal education,Self employed
Uganda,2018,uniqueid_11,No,Rural,Yes,7.0,40.0,Male,Head of Household,Married/Living together,Primary education,Other Income
Uganda,2018,uniqueid_12,No,Rural,Yes,4.0,23.0,Female,Head of Household,Divorced/Seperated,Primary education,No Income
Uganda,2018,uniqueid_13,No,Urban,Yes,3.0,18.0,Female,Spouse,Married/Living together,Secondary education,Other Income
Uganda,2018,uniqueid_14,No,Rural,No,3.0,26.0,Female,Spouse,Married/Living together,Primary education,Self employed
Uganda,2018,uniqueid_15,No,Urban,Yes,2.0,27.0,Female,Head of Household,Single/Never Married,Primary education,Other Income
Uganda,2018,uniqueid_16,No,Rural,Yes,5.0,32.0,Male,Head of Household,Married/Living together,Primary education,Self employed
Uganda,2018,uniqueid_17,No,Rural,No,4.0,50.0,Female,Head of Household,Divorced/Seperated,Primary education,Self employed
Uganda,2018,uniqueid_18,No,Rural,Yes,3.0,21.0,Female,Spouse,Married/Living together,Secondary education,Formally employed Private
Uganda,2018,uniqueid_19,No,Urban,Yes,4.0,20.0,Male,Other relative,Single/Never Married,Secondary education,Other Income
Uganda,2018,uniqueid_20,No,Urban,Yes,5.0,60.0,Male,Head of Household,Married/Living together,Primary education,Self employed
Uganda,2018,uniqueid_21,No,Rural,Yes,4.0,24.0,Female,Head of Household,Divorced/Seperated,Primary education,Other Income
Uganda,2018,uniqueid_22,No,Rural,Yes,5.0,30.0,Female,Spouse,Married/Living together,Primary education,Self employed
Uganda,2018,uniqueid_23,Yes,Urban,Yes,3.0,40.0,Male,Head of Household,Married/Living together,Vocational/Specialised training,Self employed
Uganda,2018,uniqueid_24,No,Rural,No,4.0,22.0,Female,Spouse,Married/Living together,Primary education,Self employed
Uganda,2018,uniqueid_25,No,Urban,Yes,6.0,24.0,Female,Spouse,Married/Living together,Primary education,Other Income
Uganda,2018,uniqueid_26,No,Rural,Yes,2.0,33.0,Female,Head of Household,Single/Never Married,Vocational/Specialised training,Formally employed Private
Uganda,2018,uniqueid_27,No,Rural,Yes,4.0,21.0,Female,Spouse,Married/Living together,Primary education,Self employed
Uganda,2018,uniqueid_28,Yes,Urban,Yes,4.0,27.0,Female,Head of Household,Married/Living together,Tertiary education,Other Income
Uganda,2018,uniqueid_29,No,Rural,No,4.0,28.0,Female,Spouse,Married/Living together,Primary education,Self employed
Uganda,2018,uniqueid_30,No,Urban,No,6.0,37.0,Female,Spouse,Married/Living together,Secondary education,Self employed
Uganda,2018,uniqueid_31,No,Rural,No,5.0,34.0,Female,Spouse,Married/Living together,Primary education,Other Income
Uganda,2018,uniqueid_32,No,Urban,Yes,2.0,25.0,Male,Head of Household,Married/Living together,Primary education,Self employed
Uganda,2018,uniqueid_33,No,Rural,Yes,1.0,52.0,Female,Head of Household,Widowed,Primary education,Self employed
Uganda,2018,uniqueid_34,No,Rural,No,1.0,49.0,Female,Head of Household,Widowed,No formal education,Self employed
Uganda,2018,uniqueid_35,No,Urban,Yes,4.0,36.0,Female,Spouse,Married/Living together,Secondary education,Other Income
Uganda,2018,uniqueid_36,No,Urban,Yes,1.0,27.0,Male,Head of Household,Married/Living together,Secondary education,Formally employed Private
Uganda,2018,uniqueid_37,No,Rural,Yes,2.0,36.0,Female,Head of Household,Married/Living together,Primary education,Other Income
Uganda,2018,uniqueid_38,No,Urban,Yes,3.0,26.0,Female,Spouse,Married/Living together,Secondary education,Self employed
Uganda,2018,uniqueid_39,No,Rural,No,4.0,23.0,Female,Spouse,Married/Living together,Primary education,Self employed
Uganda,2018,uniqueid_40,No,Rural,No,8.0,34.0,Female,Spouse,Married/Living together,No formal education,Other Income
Uganda,2018,uniqueid_41,No,Rural,Yes,11.0,50.0,Male,Head of Household,Married/Living together,Primary education,Self employed
Uganda,2018,uniqueid_42,No,Rural,Yes,2.0,65.0,Male,Head of Household,Married/Living together,Secondary education,Self employed
Uganda,2018,uniqueid_43,No,Urban,Yes,2.0,22.0,Female,Spouse,Married/Living together,Primary education,No Income
Uganda,2018,uniqueid_44,No,Urban,Yes,7.0,36.0,Female,Spouse,Married/Living together,Primary education,Other Income
Uganda,2018,uniqueid_45,No,Rural,No,3.0,20.0,Female,Spouse,Married/Living together,Primary education,No Income
Uganda,2018,uniqueid_46,No,Rural,Yes,9.0,42.0,Female,Spouse,Married/Living together,Primary education,Self employed
Uganda,2018,uniqueid_47,No,Rural,Yes,4.0,18.0,Female,Child,Single/Never Married,Secondary education,Formally employed Private
Uganda,2018,uniqueid_48,No,Urban,Yes,4.0,20.0,Female,Head of Household,Married/Living together,Vocational/Specialised training,No Income
Uganda,2018,uniqueid_49,No,Urban,Yes,6.0,36.0,Female,Head of Household,Widowed,Primary education,Self employed
Uganda,2018,uniqueid_50,No,Rural,Yes,7.0,52.0,Male,Head of Household,Married/Living together,Primary education,Self employed
Uganda,2018,uniqueid_51,Yes,Urban,Yes,1.0,21.0,Male,Head of Household,Single/Never Married,Vocational/Specialised training,Other Income
Uganda,2018,uniqueid_52,No,Rural,No,4.0,26.0,Male,Head of Household,Married/Living together,Primary education,Other Income
Uganda,2018,uniqueid_53,No,Urban,Yes,5.0,18.0,Female,Other relative,Single/Never Married,Secondary education,Other Income
